"序号","一级序号","一级产品类别","二级序号","二级产品类别","预期用途","管理类别"
931,19,"用于其他生理、生化或免疫功能指标检测的试剂",19027,"血栓素B2检测试剂","用于检测人体血液样本中的血栓素B2。临床上用于评价血小板凝聚及血管收缩作用。","Ⅱ"
932,19,"用于其他生理、生化或免疫功能指标检测的试剂",19028,"6-酮-前列腺素F1α检测试剂","用于检测人体血液样本中的6-酮-前列腺素F1α含量。临床上用于血栓性疾病的辅助诊断。","Ⅱ"
933,19,"用于其他生理、生化或免疫功能指标检测的试剂",19029,"11-脱氢血栓烷B2（11dhTxB2）检测试剂","用于检测人体血液样本中的11-脱氢血栓烷B2（11dhTxB2）含量。临床上用于评价阿司匹林抗血小板凝集的治疗效果。","Ⅱ"
934,19,"用于其他生理、生化或免疫功能指标检测的试剂",19030,"纤溶酶-α2纤溶酶抑制剂复合物检测试剂","用于检测人体血液样本中的纤溶酶-α2纤溶酶抑制剂复合物含量。临床上用于血栓性疾病的辅助诊断及疗效观察。","Ⅱ"
935,19,"用于其他生理、生化或免疫功能指标检测的试剂",19031,"血气检测试剂","用于检测人体样本中的pH值、二氧化碳分压（pCO2）、氧分压（pO2）、红血细胞比容、钠、钾、钙离子、氯离子等项目。临床上可用于监测酸碱平衡失调、缺氧及二氧化碳潴留等。","Ⅱ"
936,19,"用于其他生理、生化或免疫功能指标检测的试剂",19032,"尿液分析试纸","用于检测人体尿液样本中的尿胆原、葡萄糖、酮体、胆红素、蛋白质、亚硝酸盐、pH值、隐血、比重和白细胞等项目。临床上用于肾病类、糖尿病类、泌尿感染类以及其他疾病类疾病的辅助诊断。","Ⅱ"
937,19,"用于其他生理、生化或免疫功能指标检测的试剂",19033,"尿有形成分分析检测试剂","用于检测人体尿液样本中的红细胞、白细胞、管型等项目，临床上用于泌尿系统感染、急性肾小球肾炎等疾病的辅助诊断。","Ⅱ"
938,19,"用于其他生理、生化或免疫功能指标检测的试剂",19034,"红细胞渗透脆性检测试剂","用于检测人全血样本中的红细胞渗透脆性。临床上用于红细胞渗透脆性病变的辅助诊断。","Ⅱ"
939,19,"用于其他生理、生化或免疫功能指标检测的试剂",19035,"绝对计数微球试剂","用于检测人体血液样本中的淋巴细胞、淋巴细胞亚群以及 CD34+细胞群的百分计数及绝对计数。临床上用于T淋巴细胞亚群的计数。","Ⅱ"
940,19,"用于其他生理、生化或免疫功能指标检测的试剂",19036,"精子形态分析检测试剂","用于人体精液样本中精子形态分析。临床上用于男性生殖功能的评价。","Ⅱ"
941,19,"用于其他生理、生化或免疫功能指标检测的试剂",19037,"精子DNA碎片检测试剂","用于检测人体精液样本中精子DNA的碎片率。临床上用于评估精子质量。","Ⅱ"
942,19,"用于其他生理、生化或免疫功能指标检测的试剂",19038,"精子膜低渗膨胀检测试剂","用于检测人体精液样本中的精子膜低渗膨胀功能。临床上用于反映受精能力。","Ⅱ"
943,19,"用于其他生理、生化或免疫功能指标检测的试剂",19039,"精浆锌检测试剂","用于检测人体精浆样本中的锌含量。临床上用于前列腺炎和男性不育的辅助诊断。","Ⅱ"
944,19,"用于其他生理、生化或免疫功能指标检测的试剂",19040,"精浆果糖检测试剂","用于检测人体精浆样本中的果糖含量。临床上用于评价精囊和睾丸间质细胞的功能。","Ⅱ"
945,19,"用于其他生理、生化或免疫功能指标检测的试剂",19041,"精浆柠檬酸检测试剂","用于检测人体精浆样本中的柠檬酸含量。临床上用于评价前列腺功能和男子性功能。","Ⅱ"
946,19,"用于其他生理、生化或免疫功能指标检测的试剂",19042,"精浆酸性磷酸酶检测试剂","用于检测人体精浆样本中的酸性磷酸酶水平。临床上用于前列腺疾病的辅助诊断。","Ⅱ"
947,19,"用于其他生理、生化或免疫功能指标检测的试剂",19043,"精浆中性α-葡萄糖苷酶检测试剂","用于检测人体精浆样本中的性α-葡萄糖苷酶含量。临床上用于男性不育症的辅助诊断。","Ⅱ"
948,19,"用于其他生理、生化或免疫功能指标检测的试剂",19044,"精液乳酸脱氢酶X同工酶检测试剂","用于检测人体精液样本中的乳酸脱氢酶X同工酶含量。临床上用于男性不育的辅助诊断。","Ⅱ"
949,19,"用于其他生理、生化或免疫功能指标检测的试剂",19045,"精子顶体酶检测试剂","用于检测人体精液样本中的精子顶体酶活性。临床上用于判断男性精子功能。","Ⅱ"
950,19,"用于其他生理、生化或免疫功能指标检测的试剂",19046,"精浆弹性硬蛋白酶检测试剂","用于检测人体精浆样本中的精浆弹性硬蛋白酶含量。临床上用于男性生殖道炎症的辅助诊断。","Ⅱ"
951,19,"用于其他生理、生化或免疫功能指标检测的试剂",19047,"精浆肉碱检测试剂","用于检测人体精浆样本中肉碱的浓度。临床上用于精囊和睾丸功能的辅助诊断。","Ⅱ"
952,19,"用于其他生理、生化或免疫功能指标检测的试剂",19048,"精液/精浆活性氧（ROS）检测试剂","用于检测人体精液/精浆样本中的活性氧（ROS）含量。临床上用于男性精液质量的辅助判断。","Ⅱ"
953,19,"用于其他生理、生化或免疫功能指标检测的试剂",19049,"白介素-1β检测试剂","用于检测人体样本中的白介素-1β（IL-1β）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
954,19,"用于其他生理、生化或免疫功能指标检测的试剂",19050,"白介素2检测试剂","用于检测人体样本中的白介素2（IL-2）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
955,19,"用于其他生理、生化或免疫功能指标检测的试剂",19051,"白介素2受体检测试剂","用于检测人体样本中的白介素2受体（IL-2R）。临床上用于免疫性疾病的辅助诊断。","Ⅱ"
956,19,"用于其他生理、生化或免疫功能指标检测的试剂",19052,"白介素4检测试剂","用于检测人体样本中的白介素4（IL-4）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
957,19,"用于其他生理、生化或免疫功能指标检测的试剂",19053,"白介素5检测试剂","用于检测人体样本中的白介素5（IL-5）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
958,19,"用于其他生理、生化或免疫功能指标检测的试剂",19054,"白介素6检测试剂","用于检测人体样本中的白介素6（IL-6）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
959,19,"用于其他生理、生化或免疫功能指标检测的试剂",19055,"白介素8检测试剂","用于检测人体样本中的白介素8（IL-8）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
960,19,"用于其他生理、生化或免疫功能指标检测的试剂",19056,"白介素10检测试剂","用于检测人体样本中的白介素10（IL-10）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
961,19,"用于其他生理、生化或免疫功能指标检测的试剂",19057,"白介素12p70检测试剂","用于检测人体样本中的白介素12p70（IL-12p70）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
962,19,"用于其他生理、生化或免疫功能指标检测的试剂",19058,"白介素17检测试剂","用于检测人体样本中的白介素17（IL-17）。临床上用于监测机体的免疫状态、炎症反应。","Ⅱ"
963,19,"用于其他生理、生化或免疫功能指标检测的试剂",19059,"B因子检测试剂","用于检测人体样本中的B因子。临床上用于评价补体相关的疾病。","Ⅱ"
964,19,"用于其他生理、生化或免疫功能指标检测的试剂",19060,"补体C1q检测试剂","用于检测人体样本中的补体C1q。临床上可用于肾炎、肾小球损伤的辅助诊断。","Ⅱ"
965,19,"用于其他生理、生化或免疫功能指标检测的试剂",19061,"补体C3检测试剂","用于检测人体样本中的补体C3。临床上用于补体低下或相关免疫缺陷性疾病的辅助诊断。","Ⅱ"
966,19,"用于其他生理、生化或免疫功能指标检测的试剂",19062,"补体C3c检测试剂","用于检测人体样本中的补体C3c。临床上用于补体蛋白C3c相关免疫疾病的辅助诊断。","Ⅱ"
967,19,"用于其他生理、生化或免疫功能指标检测的试剂",19063,"补体C4检测试剂","用于检测人体样本中的补体C4。临床上用于补体低下或相关免疫缺陷性疾病的辅助诊断。","Ⅱ"
968,19,"用于其他生理、生化或免疫功能指标检测的试剂",19064,"补体因子D检测试剂","用于检测人体样本中的补体因子D（CFD）。临床上用于子痫的辅助性诊断。","Ⅱ"
969,19,"用于其他生理、生化或免疫功能指标检测的试剂",19065,"补体因子H检测试剂","用于检测人体样本中的补体因子H（CFH）。临床上用于非典型溶血尿毒综合症等肾脏疾病的辅助诊断。","Ⅱ"
970,19,"用于其他生理、生化或免疫功能指标检测的试剂",19066,"总补体活性（CH50）检测试剂","用于检测人体样本中的总补体活性（CH50）。临床上用于补体活性异常或相关免疫缺陷性疾病的辅助诊断。","Ⅱ"
971,19,"用于其他生理、生化或免疫功能指标检测的试剂",19067,"循环免疫复合物（含IgG抗体）CIC-C1q检测试剂","用于检测人体样本中含IgG抗体的C1q结合的免疫循环复合物（CIC-C1q），临床上用于炎症反应的辅助诊断。","Ⅱ"
972,19,"用于其他生理、生化或免疫功能指标检测的试剂",19068,"人类白细胞抗原B27（HLA-B27）检测试剂","用于检测人体样本中人类白细胞抗原B27（HLA-B27）。临床上用于强直性脊柱炎（AS）、Reiter's综合征等与HLA-B27抗原表达有关疾病的辅助诊断。","Ⅱ"
973,19,"用于其他生理、生化或免疫功能指标检测的试剂",19069,"胎盘生长因子（PlGF）检测试剂","用于检测人体样本中的胎盘生长因子（PlGF）含量。临床上用于先兆子痫的辅助诊断。","Ⅱ"
974,19,"用于其他生理、生化或免疫功能指标检测的试剂",19070,"可溶性fms样酪氨酸激酶-1（sFlt-1）检测试剂","用于检测人体样本中可溶性fms样酪氨酸激酶-1（sFlt-1）的含量。临床上用于先兆子痫的辅助诊断。","Ⅱ"
975,19,"用于其他生理、生化或免疫功能指标检测的试剂",19071,"血管内皮生长因子检测试剂","用于检测人体样本中的血管内皮生长因子含量。临床上用于血管生成依赖性疾病的辅助诊断。","Ⅱ"
976,19,"用于其他生理、生化或免疫功能指标检测的试剂",19072,"特异性生长因子检测试剂","用于检测人体样本中的特异性生长因子。临床上用于急性炎症监测、免疫功能紊乱的辅助诊断。","Ⅱ"
977,19,"用于其他生理、生化或免疫功能指标检测的试剂",19073,"生长分化因子-15检测试剂","用于检测人体样本中生长分化因子-15。临床上用于心脑血管损伤的辅助诊断。","Ⅱ"
978,19,"用于其他生理、生化或免疫功能指标检测的试剂",19074,"α-干扰素（IFN-α）检测试剂","用于检测人体样本中的α-干扰素（IFN-α）。临床上用于炎症、免疫性疾病的辅助诊断。","Ⅱ"
979,19,"用于其他生理、生化或免疫功能指标检测的试剂",19075,"γ-干扰素（IFN-γ）检测试剂","用于检测人体样本中的γ-干扰素（IFN-γ）。临床上用于炎症、免疫性疾病的辅助诊断。","Ⅱ"
980,19,"用于其他生理、生化或免疫功能指标检测的试剂",19076,"肿瘤坏死因子α（TNF-α）检测试剂","用于检测人体样本中的肿瘤坏死因子α（TNF-α）含量。临床上用于炎症、免疫性疾病的辅助诊断。不用于恶性肿瘤患者的动态监测。","Ⅱ"
981,19,"用于其他生理、生化或免疫功能指标检测的试剂",19077,"肿瘤坏死因子受体1（TNFR1）检测试剂","用于检测人体样本中的肿瘤坏死因子受体1（TNFR1）表达。临床上用于肾病、儿童肺炎等疾病的辅助诊断。","Ⅱ"
982,19,"用于其他生理、生化或免疫功能指标检测的试剂",19078,"α淋巴毒素检测试剂","用于检测人体样本中的α淋巴毒素（LTA）。临床上用于干眼症的辅助诊断。","Ⅱ"
983,19,"用于其他生理、生化或免疫功能指标检测的试剂",19079,"β-胶原降解产物检测试剂","用于检测人体尿液样本中的β-胶原降解产物。临床上用于骨质疏松的辅助诊断。","Ⅱ"
984,19,"用于其他生理、生化或免疫功能指标检测的试剂",19080,"细菌内毒素检测试剂","用于检测人体样本中的细菌内毒素。临床上用于内毒素血症、革兰阴性细菌败血症和革兰阴性细菌感染的辅助诊断。","Ⅱ"
985,19,"用于其他生理、生化或免疫功能指标检测的试剂",19081,"革兰阴性菌脂多糖检测试剂","用于检测人体样本中的革兰阴性菌脂多糖。临床上用于革兰阴性菌感染的辅助诊断。","Ⅱ"
986,19,"用于其他生理、生化或免疫功能指标检测的试剂",19082,"革兰阳性菌肽聚糖检测试剂","用于检测人体样本中的肽聚糖。临床上用于对疑似血流感染患者进行感染类型的辅助诊断。","Ⅱ"
987,19,"用于其他生理、生化或免疫功能指标检测的试剂",19083,"真菌（1-3）-β-D葡聚糖检测试剂","用于检测人体样本中的真菌（1-3）-β-D葡聚糖。临床上用于深部真菌感染的辅助诊断。","Ⅱ"
988,19,"用于其他生理、生化或免疫功能指标检测的试剂",19084,"细菌唾液酸酶检测试剂","用于检测阴道分泌物样本中的唾液酸酶活性。临床上用于细菌性阴道病的辅助诊断。","Ⅱ"
989,19,"用于其他生理、生化或免疫功能指标检测的试剂",19085,"幽门螺旋杆菌尿素酶检测试剂","用于检测人体样本中的幽门螺旋杆菌尿素酶活性。临床上用于胃幽门螺旋杆菌感染的辅助诊断。","Ⅱ"
990,19,"用于其他生理、生化或免疫功能指标检测的试剂",19086,"沙眼衣原体α-甘露糖苷酶检测试剂","用于检测人体泌尿生殖道分泌物样本中的沙眼衣原体α-甘露糖苷酶活性。临床上用于沙眼衣原体感染的辅助诊断。","Ⅱ"
991,19,"用于其他生理、生化或免疫功能指标检测的试剂",19087,"淋病奈瑟菌特异性酶检测试剂","用于检测人体泌尿生殖道分泌物样本中的淋病奈瑟菌特异性酶（过氧化物酶、丙二醇氧化还原酶、细胞色素C氧化酶、脯氨酸氨基肽酶）活性。临床上用于淋病奈瑟菌感染的辅助诊断。","Ⅱ"
992,19,"用于其他生理、生化或免疫功能指标检测的试剂",19088,"过氧化氢检测试剂","用于检测人体阴道分泌物样本中过氧化氢含量，临床上用于细菌性阴道病的辅助诊断。","Ⅱ"
993,19,"用于其他生理、生化或免疫功能指标检测的试剂",19089,"同型半胱氨酸检测试剂","用于检测人体样本中的同型半胱氨酸。临床上用于高同型半胱氨酸血症、同型半胱氨酸尿症的辅助诊断及心血管病风险的评价。","Ⅱ"
994,19,"用于其他生理、生化或免疫功能指标检测的试剂",19090,"甘胆酸检测试剂","用于检测人体样本中的甘胆酸。临床上用于肝胆疾病的辅助诊断。","Ⅱ"
995,19,"用于其他生理、生化或免疫功能指标检测的试剂",19091,"直接胆红素检测试剂","用于检测人体样本中的结合胆红素。临床上用于胆红素代谢紊乱的辅助诊断。","Ⅱ"
996,19,"用于其他生理、生化或免疫功能指标检测的试剂",19092,"总胆红素检测试剂","用于检测人体样本中的总胆红素。临床上用于胆红素代谢紊乱的辅助诊断。","Ⅱ"
997,19,"用于其他生理、生化或免疫功能指标检测的试剂",19093,"总胆汁酸检测试剂","用于检测人体样本中的总胆汁酸。临床上用于肝胆系统疾病的辅助诊断。","Ⅱ"
998,19,"用于其他生理、生化或免疫功能指标检测的试剂",19094,"肝活素检测试剂","用于检测人体样本中的肝活素。临床上用于急性肝损伤的辅助诊断。","Ⅱ"
999,19,"用于其他生理、生化或免疫功能指标检测的试剂",19095,"乙醇检测试剂","用于检测人体样本中的乙醇。临床上用于酒精中毒的辅助诊断。","Ⅱ"
1000,19,"用于其他生理、生化或免疫功能指标检测的试剂",19096,"L-乳酸盐检测试剂","用于检测人体样本中的L-乳酸盐。临床上用于代谢性酸中毒的辅助诊断。","Ⅱ"
1001,19,"用于其他生理、生化或免疫功能指标检测的试剂",19097,"透明质酸检测试剂","用于检测人体样本中透明质酸。临床上用于肝纤维化的辅助诊断。","Ⅱ"
1002,19,"用于其他生理、生化或免疫功能指标检测的试剂",19098,"磷脂检测试剂","用于检测人体血清或血浆中的磷脂。临床上用于磷脂代谢疾病的辅助诊断。","Ⅱ"
1003,19,"用于其他生理、生化或免疫功能指标检测的试剂",19099,"唾液酸检测试剂","用于检测人体样本中的唾液酸。临床上作为一种非特异性炎症指标。","Ⅱ"
1004,19,"用于其他生理、生化或免疫功能指标检测的试剂",19100,"肌酐检测试剂","用于检测人体样本中的肌酐。临床上作为肾功能的评价指标。","Ⅱ"
1005,19,"用于其他生理、生化或免疫功能指标检测的试剂",19101,"尿素/尿素氮检测试剂","用于检测人体样本中的尿素/尿素氮。临床上作为肾功能的评价指标。","Ⅱ"
1006,19,"用于其他生理、生化或免疫功能指标检测的试剂",19102,"尿酸检测试剂","用于检测人体样本中的尿酸。临床上用于高尿酸血症的辅助诊断。","Ⅱ"
1007,19,"用于其他生理、生化或免疫功能指标检测的试剂",19103,"3-羧基-4-甲基-5-丙基-2-呋喃丙酸检测试剂","用于检测人体样本中的3-羧基-4-甲基-5-丙基-2-呋喃丙酸。临床上用于糖尿病的辅助诊断。","Ⅱ"
1008,19,"用于其他生理、生化或免疫功能指标检测的试剂",19104,"酪氨酸检测试剂","用于检测人体尿液样本中的酪氨酸（对羟基苯丙氨酸）。临床上用于氨基酸代谢异常的检测。不用于遗传疾病的辅助诊断。","Ⅱ"
1009,19,"用于其他生理、生化或免疫功能指标检测的试剂",19105,"重碳酸盐检测试剂","用于检测人体血液样本中的重碳酸盐。临床上可用于与呼吸和代谢系统酸碱平衡有关疾病的辅助诊断。","Ⅱ"
1010,19,"用于其他生理、生化或免疫功能指标检测的试剂",19106,"阿达木单抗抗体检测试剂","用于检测人体样本中的人抗阿达木单抗抗体含量。临床上用于阿达木单抗药物治疗效果评估。","Ⅱ"
1011,19,"用于其他生理、生化或免疫功能指标检测的试剂",19107,"英夫利西单抗抗体检测试剂","用于检测人体样本中的人抗英夫利西单抗抗体含量。临床上用于英夫利西单抗药物治疗效果评估。","Ⅱ"
1012,19,"用于其他生理、生化或免疫功能指标检测的试剂",19108,"哌拉西林抗体检测试剂","用于检测人体样本中的哌拉西林抗体含量。临床上用于哌拉西林药物治疗效果评估。","Ⅱ"
1013,19,"用于其他生理、生化或免疫功能指标检测的试剂",19109,"参比液","与离子选择性电极模块（如血气分析仪或电解质分析仪）配套使用，用于为pH值、钾、钠、氯、锂离子等检测提供参比电位。","Ⅱ"
1014,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20001,"运送培养基","用于微生物样本的转运保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1015,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20002,"菌种保存培养基","用于细菌传代及菌种长期保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1016,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20003,"增菌培养基","用于细菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1017,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20004,"营养琼脂培养基","用于细菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1018,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20005,"肉汤培养基","用于细菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1019,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20006,"卵磷脂肉汤培养基","用于细菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1020,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20007,"卵磷脂吐温胰蛋白胨大豆培养基","用于细菌的分离、培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1021,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20008,"大豆酪蛋白琼脂（TSA）培养基","用于细菌的分离、培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1022,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20009,"脑心浸液琼脂培养基","用于细菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1023,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20010,"蛋白胨水培养基","用于需氧和兼性厌氧微生物的培养或传代，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1024,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20011,"胰蛋白胨葡萄糖培养基","用于细菌的分离培养不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1025,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20012,"Amies运送培养基","用于咽喉、阴道以及伤口的标本的运输保存，特别是疑似奈瑟菌属、肺炎球属、链球属、白喉杆菌、沙门志贺菌属等标本的运送保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1026,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20013,"Stuart运送培养基","用于咽喉、阴道以及伤口的苛氧菌标本的运输保存，特别是淋病奈瑟菌的运输保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1027,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20014,"Cary-Blair运送培养基","用于粪便及直肠中肠道致病菌的标本运输保存，特别是霍乱弧菌、空肠弯曲菌、沙门菌、志贺菌等标本的运输保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1028,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20015,"疱肉培养基","用于厌氧菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1029,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20016,"厌氧菌琼脂培养基","用于厌氧菌的分离、培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1030,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20017,"厌氧菌血琼脂培养基","用于厌氧菌的分离培养和溶血试验，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1031,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20018,"厌氧菌苯乙醇培养基","用于厌氧菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1032,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20019,"厌氧菌苯乙醇血琼脂培养基","用于厌氧菌的分离培养和溶血试验，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1033,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20020,"改良Cary-Blair运送培养基","用于厌氧菌样本的转运保存，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1034,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20021,"硫乙醇酸盐流体培养基（巯基乙酸盐培养基）","用于厌氧菌、需氧菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1035,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20022,"L型细菌增菌培养基","用于L型细菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1036,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20023,"B群链球菌增菌培养基","用于B群链球菌标本的转运保存和增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1037,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20024,"含0.6%酵母浸膏的胰酪胨大豆琼脂（TSA-YE）培养基","用于单核细胞增生李斯特菌的培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1038,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20025,"含0.6%酵母浸膏的胰酪胨大豆肉汤（TSB-YE）培养基","用于单核细胞增生李斯特菌的培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1039,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20026,"缓冲蛋白胨水培养基","用于沙门菌或李斯特菌增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1040,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20027,"碱性蛋白胨水培养基","用于霍乱弧菌增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1041,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20028,"幽门螺旋杆菌培养基","用于幽门螺旋杆菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1042,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20029,"拟杆菌培养基（BBE）","用于拟杆菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1043,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20030,"巧克力琼脂培养基（不加抗生素）","用于嗜血杆菌、奈瑟菌等苛养菌的培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1044,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20031,"嗜血杆菌巧克力琼脂选择培养基","用于嗜血杆菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1045,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20032,"卡那霉素-万古霉素冻融血琼脂培养基","用于厌氧菌产黑色素普雷沃菌及大部分拟杆菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1046,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20033,"环丝氨酸-头孢西丁-果糖琼脂培养基","用于厌氧菌梭状芽孢杆菌，如：艰难梭状芽孢杆菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1047,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20034,"卵黄琼脂培养基","用于厌氧菌梭状芽孢杆菌属各菌种的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1048,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20035,"SBG增菌培养基","用于沙门菌增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1049,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20036,"HE琼脂培养基","用于沙门菌和志贺菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1050,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20037,"XLD琼脂培养基","用于沙门菌和志贺菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1051,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20038,"沙门志贺（SS）琼脂培养基","用于沙门菌和志贺菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1052,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20039,"沙门志贺（SS）肉汤培养基","用于沙门菌和志贺菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1053,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20040,"弯曲杆菌培养基","用于弯曲杆菌的分离培养。","Ⅰ"
1054,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20041,"WS琼脂培养基","用于沙门菌的分离培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1055,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20042,"亚硒酸盐胱氨酸增菌培养基（SC培养基）","用于沙门菌的增菌培养，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
1056,20,"不用于微生物鉴别或药敏试验的微生物培养基及仅用于增殖的细胞培养基",20043,"血琼脂培养基","用于细菌和真菌的培养、分离，不具有微生物鉴别和药敏鉴别的作用。","Ⅰ"
